Category,Scheme Name,Description,Official Link
Women & Child Development,Beti Bachao Beti Padhao,Promotes education and survival of the girl child,https://wcd.nic.in/bbbp-scheme
Women & Child Development,Pradhan Mantri Matru Vandana Yojana,₹5000 maternity benefit for pregnant and lactating mothers,https://wcd.nic.in/schemes/pradhan-mantri-matru-vandana-yojana
Women & Child Development,Sukanya Samriddhi Yojana,High interest savings scheme for girl child,https://www.nsiindia.gov.in/(S(some))/InternalPage.aspx?Id_Pk=89
Women & Child Development,Pradhan Mantri Ujjwala Yojana,Free LPG connections for women from BPL households,https://www.pmuy.gov.in
Women & Child Development,One Stop Centre Scheme,Support for women facing violence,https://wcd.nic.in/schemes/one-stop-centre-scheme
Farmers & Agriculture,PM-KISAN,₹6000 per year income support to farmers,https://pmkisan.gov.in
Farmers & Agriculture,Pradhan Mantri Fasal Bima Yojana,Crop insurance scheme for farmers,https://pmfby.gov.in
Farmers & Agriculture,PM Kisan Maan Dhan Yojana,Pension scheme for small and marginal farmers,https://maandhan.in
Farmers & Agriculture,Soil Health Card Scheme,Provides soil nutrient report to improve productivity,https://soilhealth.dac.gov.in
Farmers & Agriculture,Kisan Credit Card,Easy credit facility for farmers,https://www.nabard.org/content.aspx?id=23
Poor & Low Income Families,Pradhan Mantri Awas Yojana,Affordable housing for urban and rural poor,https://pmaymis.gov.in
Poor & Low Income Families,Ayushman Bharat,₹5 lakh health insurance per family,https://pmjay.gov.in
Poor & Low Income Families,National Food Security Act,Subsidized food grains for poor families,https://nfsa.gov.in
Poor & Low Income Families,Deen Dayal Antyodaya Yojana,Self employment and livelihood support,https://aajeevika.gov.in
Students & Education,National Scholarship Portal,Provides central and state scholarships,https://scholarships.gov.in
Students & Education,PM YASASVI Scheme,Scholarships for OBC EBC and DNT students,https://yet.nta.ac.in
Students & Education,Skill India Mission,Skill training programs for youth,https://skillindia.gov.in
Students & Education,PM Internship Scheme,Internship opportunities for students and youth,https://internship.aicte-india.org
Senior Citizens,Indira Gandhi National Old Age Pension Scheme,Pension for elderly people below poverty line,https://nsap.nic.in
Senior Citizens,Atal Pension Yojana,Guaranteed pension scheme after 60 years,https://www.npscra.nsdl.co.in/scheme-details.php
Senior Citizens,Pradhan Mantri Vaya Vandana Yojana,Pension scheme for senior citizens,https://licindia.in/pradhan-mantri-vaya-vandana-yojana
Entrepreneurs & MSME,Pradhan Mantri Mudra Yojana,Loans up to ₹10 lakh for small businesses,https://www.mudra.org.in
Entrepreneurs & MSME,Stand Up India Scheme,Loans for SC ST and women entrepreneurs,https://www.standupmitra.in
Entrepreneurs & MSME,Startup India,Support and tax benefits for startups,https://www.startupindia.gov.in
Entrepreneurs & MSME,PM Vishwakarma Yojana,Support for traditional artisans and craftsmen,https://pmvishwakarma.gov.in
Health & Medical,Ayushman Bharat PMJAY,Free treatment up to ₹5 lakh,https://pmjay.gov.in
Health & Medical,Janani Suraksha Yojana,Incentives for safe delivery,https://nhm.gov.in/index1.php?lang=1&level=3&sublinkid=841&lid=309
Health & Medical,National Digital Health Mission,Digital health ID and health records,https://abdm.gov.in
Housing & Infrastructure,Swachh Bharat Mission,Promotes sanitation and toilet construction,https://swachhbharatmission.gov.in
Housing & Infrastructure,Jal Jeevan Mission,Provides tap water to rural households,https://jaljeevanmission.gov.in
Housing & Infrastructure,Saubhagya Scheme,Free electricity connections for poor households,https://saubhagya.gov.in
Financial Inclusion,Pradhan Mantri Jan Dhan Yojana,Zero balance bank accounts with RuPay card,https://pmjdy.gov.in
Financial Inclusion,Pradhan Mantri Jeevan Jyoti Bima Yojana,₹2 lakh life insurance at low premium,https://jansuraksha.gov.in
Financial Inclusion,Pradhan Mantri Suraksha Bima Yojana,₹2 lakh accident insurance scheme,https://jansuraksha.gov.in
Financial Inclusion,Senior Citizens Savings Scheme,High interest savings scheme for senior citizens,https://www.nsiindia.gov.in
Employment & Skill Development,MGNREGA,100 days guaranteed rural employment,https://nrega.nic.in
Employment & Skill Development,Deen Dayal Upadhyaya Grameen Kaushalya Yojana,Skill training for rural youth,https://ddugky.gov.in
Employment & Skill Development,PM Rozgar Protsahan Yojana,Encourages job creation through EPF support,https://labour.gov.in
Rural Development,Pradhan Mantri Gram Sadak Yojana,Rural road connectivity development,https://pmgsy.nic.in
Rural Development,Digital India,Improves digital infrastructure and services,https://www.digitalindia.gov.in
Rural Development,UDAY Scheme,Financial improvement of power distribution companies,https://powermin.gov.in
Environment & Energy,National Solar Mission,Promotes solar energy adoption,https://mnre.gov.in
Environment & Energy,FAME India Scheme,Subsidies for electric vehicles,https://fame-india.gov.in
