Scheme Name,Category,Description
Beti Bachao Beti Padhao,Women & Child Development,Promotes education and survival of the girl child
Pradhan Mantri Matru Vandana Yojana,Women & Child Development,₹5000 maternity benefit for pregnant and lactating mothers
Sukanya Samriddhi Yojana,Women & Child Development,High interest savings scheme for girl child
Pradhan Mantri Ujjwala Yojana,Women & Child Development,Free LPG connections for women from BPL households
One Stop Centre Scheme,Women & Child Development,Support for women facing violence
Namo Drone Didi Scheme,Women & Child Development,Provides drones to women SHGs for agricultural services
Lakhpati Didi Scheme,Women & Child Development,Supports SHGs to achieve ₹1 lakh annual income
PM-KISAN,Farmers & Agriculture,₹6000 per year income support to farmers
Pradhan Mantri Fasal Bima Yojana,Farmers & Agriculture,Crop insurance scheme for farmers
PM Kisan Maan Dhan Yojana,Farmers & Agriculture,Pension scheme for small and marginal farmers
Soil Health Card Scheme,Farmers & Agriculture,Provides soil nutrient report to improve productivity
Kisan Credit Card,Farmers & Agriculture,Easy credit facility for farmers
Paramparagat Krishi Vikas Yojana,Farmers & Agriculture,Promotes organic farming
Pradhan Mantri Krishi Sinchai Yojana,Farmers & Agriculture,Improves irrigation and water use efficiency
National Agriculture Market (eNAM),Farmers & Agriculture,Digital marketplace for agricultural products
Rashtriya Krishi Vikas Yojana,Farmers & Agriculture,Supports agricultural infrastructure development
Agriculture Infrastructure Fund,Farmers & Agriculture,Financing facility for farm infrastructure
Sub-Mission on Agricultural Mechanization,Farmers & Agriculture,Subsidy for modern farm equipment
National Scholarship Portal,Students & Education,Platform providing multiple scholarships
PM YASASVI Scheme,Students & Education,Scholarships for OBC EBC and DNT students
Skill India Mission,Students & Education,Skill training programs for youth
PM Internship Scheme,Students & Education,Internship opportunities for students
INSPIRE Scholarship Scheme,Students & Education,Scholarships for science students
National Means Cum Merit Scholarship,Students & Education,Support for meritorious low income students
AICTE Pragati Scholarship,Students & Education,Scholarship for girls in technical education
AICTE Saksham Scholarship,Students & Education,Scholarship for specially‑abled students
SWAYAM,Students & Education,Free online courses from top universities
PM eVIDYA,Students & Education,Digital education through TV and online platforms
Ayushman Bharat PMJAY,Health & Medical,₹5 lakh health insurance per family
Janani Suraksha Yojana,Health & Medical,Incentives for safe delivery
National Digital Health Mission,Health & Medical,Digital health ID and health records
Mission Indradhanush,Health & Medical,Vaccination program for children
National Health Mission,Health & Medical,Improves healthcare infrastructure
Pradhan Mantri Swasthya Suraksha Yojana,Health & Medical,Establishes AIIMS and improves tertiary healthcare
eSanjeevani Telemedicine Service,Health & Medical,Online doctor consultation service
Pradhan Mantri Mudra Yojana,Entrepreneurs & MSME,Loans up to ₹10 lakh for small businesses
Stand Up India Scheme,Entrepreneurs & MSME,Loans for SC ST and women entrepreneurs
Startup India,Entrepreneurs & MSME,Support and tax benefits for startups
PM Vishwakarma Yojana,Entrepreneurs & MSME,Support for artisans and craftsmen
Prime Minister Employment Generation Programme,Entrepreneurs & MSME,Financial support to start micro enterprises
Pradhan Mantri Awas Yojana,Housing & Infrastructure,Affordable housing for urban and rural poor
Smart Cities Mission,Housing & Infrastructure,Develops smart infrastructure in cities
AMRUT Mission,Housing & Infrastructure,Improves water supply and sewerage
Jal Jeevan Mission,Housing & Infrastructure,Tap water for rural households
Saubhagya Scheme,Housing & Infrastructure,Free electricity connections for poor households
Bharatmala Pariyojana,Housing & Infrastructure,National highway development project
Sagarmala Programme,Housing & Infrastructure,Port-led development program
Pradhan Mantri Jan Dhan Yojana,Financial Inclusion,Zero balance bank accounts with RuPay card
Pradhan Mantri Jeevan Jyoti Bima Yojana,Financial Inclusion,₹2 lakh life insurance at low premium
Pradhan Mantri Suraksha Bima Yojana,Financial Inclusion,₹2 lakh accident insurance
Senior Citizens Savings Scheme,Financial Inclusion,High interest savings scheme for elderly
MGNREGA,Employment & Skill Development,100 days guaranteed rural employment
Deen Dayal Upadhyaya Grameen Kaushalya Yojana,Employment & Skill Development,Skill training for rural youth
PM Rozgar Protsahan Yojana,Employment & Skill Development,Encourages job creation through EPF support
Digital India,Digital India,Improves digital infrastructure and governance
BharatNet Project,Digital India,High speed internet connectivity in rural villages
Common Service Centres Scheme,Digital India,Digital delivery of government services
DigiLocker,Digital India,Cloud storage for government documents
UMANG App,Digital India,Single mobile platform for government services
National Solar Mission,Environment & Energy,Promotes solar energy adoption
FAME India Scheme,Environment & Energy,Subsidies for electric vehicles
PM Surya Ghar Muft Bijli Yojana,Environment & Energy,Subsidy for rooftop solar systems
UJALA Scheme,Environment & Energy,Promotes LED bulbs and energy efficiency
PM KUSUM Scheme,Environment & Energy,Solar pumps for farmers
National Green Hydrogen Mission,Environment & Energy,Promotes green hydrogen energy
Indira Gandhi National Old Age Pension Scheme,Senior Citizens,Pension for elderly below poverty line
Atal Pension Yojana,Senior Citizens,Guaranteed pension after 60 years
Pradhan Mantri Vaya Vandana Yojana,Senior Citizens,Pension scheme for senior citizens
Rashtriya Vayoshri Yojana,Senior Citizens,Assistive devices for elderly persons
National Social Assistance Programme,Social Welfare,Financial support to elderly widows and disabled
Accessible India Campaign,Social Welfare,Improves accessibility for persons with disabilities
