Scheme Name,Category,Description,Official Website,Status (2026)
PM-KISAN,Farmers & Agriculture,Income support of ₹6000 per year to farmer families,https://www.pmkisan.gov.in,Active
Pradhan Mantri Fasal Bima Yojana,Farmers & Agriculture,Crop insurance scheme for farmers,https://pmfby.gov.in,Active
PM Kisan Maan Dhan Yojana,Farmers & Agriculture,Pension scheme for small and marginal farmers,https://maandhan.in,Active
Soil Health Card Scheme,Farmers & Agriculture,Provides soil nutrient report for farmers,https://soilhealth.dac.gov.in,Active
National Agriculture Market (eNAM),Farmers & Agriculture,Online agricultural trading platform,https://www.enam.gov.in,Active
Agriculture Infrastructure Fund,Farmers & Agriculture,Financing facility for agriculture infrastructure,https://agriinfra.dac.gov.in,Active
National Scholarship Portal,Students & Education,Portal for central and state scholarships,https://scholarships.gov.in,Active
PM YASASVI Scheme,Students & Education,"Scholarships for OBC, EBC and DNT students",https://yet.nta.ac.in,Active
SWAYAM,Students & Education,Free online courses from universities,https://swayam.gov.in,Active
PM eVIDYA,Students & Education,Digital education initiative with TV and online content,https://pmevidya.education.gov.in,Active
Ayushman Bharat PMJAY,Health & Medical,₹5 lakh health insurance per family,https://pmjay.gov.in,Active
eSanjeevani Telemedicine Service,Health & Medical,Online doctor consultation platform,https://esanjeevani.in,Active
National Health Mission,Health & Medical,Improves healthcare infrastructure,https://nhm.gov.in,Active
Pradhan Mantri Mudra Yojana,Entrepreneurs & MSME,Loans up to ₹10 lakh for small businesses,https://www.mudra.org.in,Active
Startup India,Entrepreneurs & MSME,Support and incentives for startups,https://www.startupindia.gov.in,Active
Stand Up India Scheme,Entrepreneurs & MSME,Loans for SC/ST and women entrepreneurs,https://www.standupmitra.in,Active
Pradhan Mantri Awas Yojana,Housing & Infrastructure,Affordable housing for urban and rural poor,https://pmaymis.gov.in,Active
Jal Jeevan Mission,Housing & Infrastructure,Tap water supply to rural households,https://jaljeevanmission.gov.in,Active
Smart Cities Mission,Housing & Infrastructure,Urban infrastructure modernization,https://smartcities.gov.in,Active
Pradhan Mantri Jan Dhan Yojana,Financial Inclusion,Zero balance bank accounts,https://pmjdy.gov.in,Active
Pradhan Mantri Jeevan Jyoti Bima Yojana,Financial Inclusion,Low premium life insurance,https://jansuraksha.gov.in,Active
Pradhan Mantri Suraksha Bima Yojana,Financial Inclusion,Accident insurance scheme,https://jansuraksha.gov.in,Active
MGNREGA,Employment & Skill Development,100 days guaranteed employment in rural areas,https://nrega.nic.in,Active
Deen Dayal Upadhyaya Grameen Kaushalya Yojana,Employment & Skill Development,Skill training for rural youth,https://ddugky.gov.in,Active
Digital India,Digital India,Digital infrastructure and e-governance,https://digitalindia.gov.in,Active
DigiLocker,Digital India,Secure digital document wallet,https://digilocker.gov.in,Active
UMANG App,Digital India,Unified mobile app for government services,https://umang.gov.in,Active
National Solar Mission,Environment & Energy,Promotes solar energy adoption,https://mnre.gov.in,Active
PM KUSUM Scheme,Environment & Energy,Solar pumps and renewable energy for farmers,https://pmkusum.mnre.gov.in,Active
PM Surya Ghar Muft Bijli Yojana,Environment & Energy,Rooftop solar subsidy for households,https://pmsuryaghar.gov.in,Active
Atal Pension Yojana,Senior Citizens,Pension scheme for unorganized sector workers,https://npscra.nsdl.co.in,Active
Pradhan Mantri Vaya Vandana Yojana,Senior Citizens,Guaranteed pension scheme for senior citizens,https://licindia.in,Active
IndiaAI Mission,Technology & Innovation,AI ecosystem and infrastructure development in India,https://indiaai.gov.in,Upcoming/Expanding
India Semiconductor Mission,Manufacturing & Industry,Develop semiconductor manufacturing ecosystem,https://ism.gov.in,Active
National Green Hydrogen Mission,Environment & Energy,Promotes green hydrogen production,https://mnre.gov.in/green-hydrogen,Active
