Category,Scheme Name,Description,Official Link
Farmers & Agriculture,Paramparagat Krishi Vikas Yojana,Promotes organic farming and cluster-based organic agriculture,https://pgsindia-ncof.gov.in
Farmers & Agriculture,Pradhan Mantri Krishi Sinchai Yojana,Expands irrigation and improves water use efficiency,https://pmksy.gov.in
Farmers & Agriculture,National Agriculture Market (eNAM),Digital marketplace for agricultural products,https://enam.gov.in
Farmers & Agriculture,Rashtriya Krishi Vikas Yojana,Supports agricultural infrastructure and development,https://rkvy.nic.in
Students & Education,INSPIRE Scholarship Scheme,Scholarships for students pursuing science,https://online-inspire.gov.in
Students & Education,National Means Cum Merit Scholarship,Financial support for meritorious students from low‑income families,https://scholarships.gov.in
Students & Education,AICTE Pragati Scholarship,Scholarship for girls pursuing technical education,https://www.aicte-india.org
Students & Education,AICTE Saksham Scholarship,Scholarship for specially‑abled students in technical courses,https://www.aicte-india.org
Health & Medical,Pradhan Mantri Bhartiya Janaushadhi Pariyojana,Provides generic medicines at low prices,https://janaushadhi.gov.in
Health & Medical,Mission Indradhanush,Vaccination program for children and pregnant women,https://nhm.gov.in
Health & Medical,National Health Mission,Improves healthcare infrastructure and services,https://nhm.gov.in
Housing & Infrastructure,Smart Cities Mission,Develops smart infrastructure in cities,https://smartcities.gov.in
Housing & Infrastructure,AMRUT Mission,"Improves water supply, sewerage and urban infrastructure",https://amrut.gov.in
Environment & Energy,PM Surya Ghar Muft Bijli Yojana,Subsidy for rooftop solar systems for households,https://pmsuryaghar.gov.in
Environment & Energy,UJALA Scheme,Promotes energy efficiency through LED bulbs,https://ujala.gov.in
Digital India,BharatNet Project,High‑speed internet connectivity in rural areas,https://bharatnet.gov.in
Digital India,Common Service Centres Scheme,Provides government services digitally in villages,https://csc.gov.in
Social Welfare,National Social Assistance Programme,"Financial assistance to elderly, widows, and disabled",https://nsap.nic.in
Social Welfare,Accessible India Campaign,Improves accessibility for persons with disabilities,https://accessibleindia.gov.in
